ID,Feed,Sentiment
49,ونعمة الاب والله,Positive
50,راجل باهي و تحفون و زيد ضامر ويفكىرنا بالضحك و الذمار و الاكثر يعرف يحكي شيخ تحيفا يا تحفون,Positive
51,نحن نعشق الحوار التونسي,Positive
52,"إنصاف اليحياوي تذكرنى ببرنامج التذكرة الاخيرة،يا حسرة من الأحلى البرامج إلى عملتها الوطنية و الا تونس 7 في وقتها 😉",Positive
53,صوت جميل بارعة في التقليد تبارك الله...,Positive
54,محل لك يا وجيهة أما أنت راك فنانة هلامية بلاثتك موش في تونس علاش ما تعملش كيما سناء كويس عفوا سناء يوسف,Positive
55,Ya3jebni osloubou w 5adem 3la rou7ou Nchallah les rappeur twansa ykounou kifou,Positive
56,"نحترمو برشا الراجل هاذا ، ايمن من ايطاليا",Positive
57,ما شاء الله عليها ممثلة و عليها لكلام,Positive
58,Ensen rajel w behyy kamel ki haka,Positive
59,"أمسط منشط شفتو في حياتي،",Negative
60,"Mra tounsya mo7tarma brcha tbrkalah 3leha,",Positive
61,ما عجبتنيش الغنايه لا علاقة,Negative
62,Yesser rzina w klemha ma39oul,Positive
63,chnakerhu,Negative
64,m3alem wlh bravoooooooooo karim,Positive
65,masttt el hammmm,Negative
66,وجيهة الجندوبي تعتبر من الممثلات المتميزين حقيقتا انا شخصيا من ملاحظتي لاعمالها الدرامية.في عدة مسلسلات تونسية مثل ( منامة عروسية ) وعودة المنيار ) الخ ...تبدع في اتقان الدور  والشخصية حقيقتا انا شخصيا   احترم هاته الفنانة المبدعة وتحية وتقدير لذاتها وشكرا,Positive
67,N7bhhhhaaaaa,Positive
68,Fsedet kif zokret el 3id ya Samir,Negative
69,Raw3a.   Mahlahoum,Positive
70,tefeh ya7ki 3atha9afa pfffffffff malla msoutiya w 9ilet torbya w mouch rajel,Negative
71,M3alem walid,Positive
72,شنوة صار ؟؟تفووووه عليكم ملاّ تفاهات .,Negative
73,احلا امين احلا كاف احلا مكي و زكية يعمي راني نقدرك ههههههههه رياض النهدي ,Positive
74,Bravo yassine 7al9a hlouwa lila w adé2ék Ken raw3a,Positive
75,Wa7da 9a7ba 😂,Negative
76,mahleha martek El 7a9 acheb mennek :),Positive
77,Brabi ili ysebou wena m3ahom ti hana netfarjou zab 3lech et9ou7ib ti ena netfarej w nseb alah ghaleb snasa 5ayba hhhhh,Negative
78,يعطيه الصحة .,Positive
79,نحبها هي عسل,Positive
80,مقداد يحكي على التربية و الأخلاق نسي روحو آش عمل مع فاطمة بوساحة ملا نفاق,Negative
81,بصراحة ممصتهم,Negative
82,Chalkka,Negative
83,هذيكا اجمل فنانة تونسية عبر التاريخ ان شاءالله ديما متألقة,Positive
84,Bravo,Positive
85,m3allim  jalloul,Positive
86,"سهرية عالمية مع الأندلسي ، إنسان شايخ ، واضح و صريح ، احترمك رغم انتمائي للأفريقي . برافو واصل في طريق النجاح و ربي يوفقك خير",Positive
87,عالم منافق,Negative
88,جعفور وحدك في جو يا معلم ديما مزاهينا,Positive
89,Hanene ya assla,Positive
90,باج مزيانة و فها خدمة تحفونة الباج,Positive
91,نجلاء انت ممثلة كبيرة و انا نحبك برشا و نتبعك برشا اما نقولك  الصوت و لغناء سيب عليك خليك في  دائرة التمثيل  يزي خليك محبوبة  ^_^,Positive
92,allah yehlek dhalem,Negative
93,يدعي العلم وهو جاهل,Negative
94,ماسط لاسط لعبها مبدع وهو ابداعو الوحيد الطحين والسراب وعداء للنهضة اكب سعدك النهضة لا تتمنى ان يناصرها امثالك يا منحط,Negative
95,كلنا ننتظر صافي سعيد الكاريزما و لباقة,Positive
96,"هههه والله تحفونة الفازة 
انتي الراجل
fawzi ya m3alem klamek mo9na3 wsari7 ya ben gamra
Ma7la zinhom bech nkaberha w na3milha poster fy dar
ياسز حلوة
jaafour nhebek yesser ama chbik  ma tjich* lkerkennah*
الحوار التونسي باهية في كل شي
Raby y5alilnaa barhoum
N7ebha mout
a7la wa7ed fihom sid a7med khotab 3al bab!!!!!!!
Wahdek ya sami ilfhri
راااجل
Bravo
بنية باهية
Bravo layla w twa7achna bentek khalineha tmathel m3ak wini ?
Ja3four m3allem haka rabi yawf9ou inchala
معلم الشيخ مورو
7louwa w mezyena w yéééésser FINOU""",Positive
97,Amin bravooooo,Positive
98,Blid w rkik,Negative
99,صراحة bravo أحمد الرحموني .,Positive
100,Bravo,Positive
101,ممثل لم ينجح الا في ادوار التقفيف والتلحيس والصبة وحتى في الدنيا انسان منافق جباااان ولحاااس,Negative
102,سخيف,Negative
103,حلقة ممتازة,Positive
104,مقنعة و مبدعة خديجة الفهري,Positive
105,ماخمجكم.و.الله.اتفوه.اعليكم,Negative
106,ووووووووو ما اجملك,Positive
107,Ejabri jabri  zeyid,Negative
108,مرا مخيب راسك يا هايشة,Negative
109,احلي  برنامج تحياتي الى تونس الخظراء ولى سي علاء,Positive
110,sa7a ja3four :p,Positive
111,Nakraha fedam,Negative
112,حلقة اليلة ذات مستوي عالي برافو كلام ناس,Positive
113,M3alma <3,Positive
114,درتوا العار ما عندكم حتى علاقة بالكوميديا حالكم يزعج والفرجة عليكم مملة سيب عليكم شوفوا حاجة اخرى غير الدومان هذا درتوا العار في قناة العار,Negative
115,"Mas9atha.  Wlh za7, o5tha . ... Meksa7 9albha",Negative
116,Mahlek ya  zina,Positive
117,Maset barcha,Negative
118,m3allim  zawwali    w nas tayba    .. top,Negative
119,Tfih 3alimarik kifik ki 5ouk lemsa5 tawa a3rfit kifécj etbdil bohoum min jrayir hath3alib -_-,Negative
120,"ساقطة وموش عبده توه ليليا غلطت ونادمة هي وفايقه بروحها اش عملت وتحب تبعد عليه وتنحيه من مخهها وشوف هالكلبه اش عملت لتخمم كان في روحها ،ساقطة 😈😈😈😈😈😈😡😡😡😡😡👊👊👊👊👊👊👊",Negative
121,Hhh mala manather mkalba,Negative
122,BRAVO CHAKIB.BRAVO.,Positive
123,Bikol sara7a mat3jibnich minkol nawa7i,Negative
124,M3alim bou zinou 😍😍😍😍😍,Positive
125,Bravo,Positive
126,Lm3allaaaamm,Positive
127,wa7do,Positive
128,صفر مستواك صفرررررررر,Negative
129,YA KALAB YA MOSA5  wmok lamsa5a,Negative
130,كلاب مرتزقة,Negative
131,Wahdek ya semi barcha ighirou menek bravo,Positive
132,Jaafour moumathel w mounachet w mo5rej tbarkalah 3lih 3malena barcha jaw fel plato w 7ke men galbou r abi y5alih lé twensa,Positive
133,Machallah,Positive
134,Bsaraha mkatel dohk .bravoooo,Positive
135,جعفور ياتحفون ربي يحميك مالعينين ووصل رك top,Positive
136,7al9a behia bravo semi fehri,Positive
137,عاهرة بما تحمله الكلمة من معنى,Negative
138,bravo tayara soutek,Positive
139,wallhi 3andek el 7a9 kalmek sa7i7,Positive
140,Tfooooohhhhh,Negative
141,برافووووو,Positive
142,واحد متثقف و ميخاف من حدّ مش كيف برشا عباد منافقين يهيزوا في القفة -_-,Positive
143,هي ممثلة العهر في قناة الدعارة الاعلامية .....,Negative
144,Mahlakome wa rabi yifarahkome wa yitawal fi 3omor waldikome incha allah 3ajabtouni bazar bazar,Positive
145,pffffffffffffff mamstou 3abed rak masseta rak lasseta,Negative
146,Tfattaaaq,Positive
147,ملا تربية ومستوى هذا الكل ثقافة لا ياللا هاذي قلت حياء,Negative
148,"، زبالة",Negative
149,Le din la mella kallou horriya,Negative
150,عيب والله,Negative
151,مخيب راسك,Negative
152,اه يعطيك دودة يا نجلووتة محلاك بو زينك يا عسلة,Positive
153,go3raaaaaaaa,Negative
154,تعجبني كيف تبدى تحكي,Positive
155,mahlak wmahla sotak,Positive
156,مسكينة  تحسها  تتحمل في شمس  فوق من  قلبها  !,Positive
157,والله جعفر القاسمي إنسان خلوق و لا يستهزئ بالناس ولا بالجهويات وهو ضااامر و بشوش ;),Positive
158,Tbarkala 3lik dima te3jebni enti a7sen moumathla,Positive
159,nmouuuuuuuuut 3laha,Positive
160,محلاك يا راضية ,Positive
161,bravo  wallah <3 <3,Positive
162,Lama 7louwa,Positive
163,bras omok ya lotfi na7i leblada,Negative
164,dima emnaweraaaaaaaaaaaaaaaaaaaaa,Positive
165,Mamsetha halokza,Negative
166,maset yesser,Negative
167,tfoooooooooooooh,Negative
168,مرأة تونسية متألقة ♡♡,Positive
169,Mate7chemch ye5i fe tv wmaryoulha ybayn kol chay l7a9 feli rabouk,Negative
170,3saaaaal maryoumaa :*,Positive
171,ريم الله يبارك عليك راكي غير تزياني وضحكتك عسولة كيفك,Positive
172,Maskina ou5tha :( masta li 7al9a pffff,Negative
173,Ma7leh,Positive
174,m3alim,Positive
175,تهبل سمير نحببببك,Positive
176,"matfhouuu w mamstouu,sans comment!!!",Negative
177,Ma555yeb rasou w mar5sssou kenou rajelll,Negative
178,ممثلة متمكنة حظ موفق ✌❤,Positive
179,Bravo semi,Positive
180,Rimz we lahas we kawed,Negative
181,T7EBBOU TRODDOUHA BLED FSEEEEED 3maltou l3aaaaaaaar.....3MALTOU L3AAAAAAAAAAAAR,Negative
182,فتاة صغيرة متميزة عن باقي الفتيات...,Positive
183,yazina min chlaykk,Negative
184,Bravooooooooooo c'est bin  c'est manifique,Positive
185,أسفي على بلدي...هل أصبحنا في زمن نناقش ما حرمه الله,Negative
186,بلطىأحسن مغنى رأب فى تونس مفيش إكلام,Positive
187,7sin dik fenen rai3,Positive
188,amine metrobbi khir men nawfel b baaaaarcha,Positive
189,m3aleeeeeeeeeeeeeeeeeeem ( . ) warja3 lstar,Positive
190,Bravoo naji jaloul,Positive
191,Wahra lnessha,Positive
192,ارزن من ملايكتوا ما فماش,Negative
193,موهر,Positive
194,maset barcha,Negative
195,أنا موافقك من ها اليلة باش نحبوا سامي نموت عليه ياربي يقتلني . مادام يحس بزوالي بلحق نقدروا ونحبو.,Positive
196,Mtkhalif nes win wislit w fech 9a3da tasna3 w nes fin raj3a hatta illi 3mlou hakka 9bal rabbi msa7hm m denia ti hatta lhayawanat mysirch fe,Negative
197,فاشل و كذاب و فيديو نسمه شاهد عليك,Negative
198,mate3jebnich jemla ki kenet matodhhorch fi télé khir,Negative
199,masit lasit,Negative
200,مااااسط,Negative
201,Waww raw3a,Positive
202,ملا منظر جداقوا  تقول كونتوار متاع حماص.,Negative
203,mastat,Negative
204,T7founa 😚,Positive
205,Tohfa w m3alia blasitha,Positive
206,Masssset,Negative
207,Brabbi chkouni ha chlekka !!sma3tha ta7ki 3la ahmed landolsi !! Malla mri4a!!!,Negative
208,wouuuuuuuuh mamssetha 5iiiiiiiiiiiit,Negative
209,Bravooo ❤,Positive
210,"تحبو دخلو في المخاخ العباد الي الحرام نورمااال 😡😡",Negative
211,En7ebha barcha w tooooooop 3al e5er   😄💗,Positive
212,برنامج متاع موبنا نعنبو زك أمكم يا خماج فيكم كان قحاب و موبنا والله نحلف عليكم تتبادلو بنساء و سامي الفهري ينيك فيكم يا خماج برامج و مواضيع متاع وبنا والله نحلف عليكم كلكم ناقصين عصبا,Negative
213,Rabi m3k wi3awnik,Positive
214,"ماسطة تقتل بالمساطة""",Negative
215,محلاهاا مذخمة وخدامه ربي معاااك,Positive
216,أحسن الممثلات في تونس bravo wajiha et bon continuation,Positive
217,Rhout,Negative
218,Hasna <3,Positive
219,الثعلب الماكر,Negative
220,بصرحة شئ يحشم ومصح  رقعتك جاي لتلفزة وتحب دافع على المثلية راك هنتنا  وهنت التوانسة اللكل شئ يؤسف,Negative
221,Bravoo kolhom abd3ou,Positive
222,Rabi m3ahoum zouz win el mochkoul :/,Positive
223,mawatehech el dawr hata tarf,Negative
224,مسلسل خمج,Negative
225,Amin tbarkala weklem enes ahla ma4ir maya hhhhh,Positive
226,bravooooooooooooooooooo olfa,Positive
227,تونس غارفة بالفقر و البطالة و الحرقة و السرقة و هذا جاي يحكي على شذوذو ..برى يعيش ولدي انت حر في بدنك,Negative
228,mskina,Negative
229,tabarkaALLAH 3LIHA :),Positive
230,برجولية تبركلا علاها,Positive
231,Entom 9anet kafra,Negative
232,Cha3b tafeh,Negative
233,Bou zink ma7lek ♥♥♥♥,Positive
234,Mala ka3ba mouch normal,Negative
235,La bravo mariem raw3a fi tamthil,Positive
236,masta,Negative
237,CHAY YA3MEL EL 3AAAAAAAR,Negative
238,مرمز عبد,Negative
239,Ma7leha,Positive
240,"أحسن حاجة عملها سامي الفهري حاجة متوقعة ",Positive
241,بصراحة وهرتو وحدها ديما  مشيخنا    لمعلم <3,Positive
242,شيخه ظحك,Positive
243,bravoooooooo,Positive
244,bravo.bravo lem3atllem welad asl  walid,Positive
245,y3jbni barcha 5atrou tel9a2iiii,Positive
246,Meli sma3t esmou walit na8hk wa7di n7eeeebou :*,Positive
247,العاهرة تشتغل بمخور,Negative
248,bravo letfi bere8am ini f hala nifsiya harija ili ini de7aket merci,Positive
249,"أسفي علا زمن يتحدث فيه (مثلي) و تتحدث فيه (عاهره) على الشرف 
tharbetou fi rou7a akther mel lezim :3
Barcha wsa5 w5maj mta3 zok omkoum l9a7ba allah la trabe7koum noktoulha omha lebled
راك ماسطاااا.....راك لاسطااااا .... ههههه
ماسط يمكن لكن الامسط منو شكيب
Maaaassssssssssset",Negative
250,Te3jebni Mra wa3leha leklem 👌👍,Positive
251,tayarra,Positive
252,Malla tahhan w rkhis na3mbouh,Negative
253,"ريم عندو لحق رجلك إغير عليك ي زين وعين وأخلاق محلاهاا ",Positive
254,A7la jaw m3a awled Moufida l7out 3lihom,Positive
255,M3alem amin,Positive
256,Hhhhh😍😘😘😘😘,Positive
257,mamastou,Negative
258,وحدك في الوهرة يا كيمو و بكلهم غايرين منك.نمووووت  عليك محلاك,Positive
259,Tayara,Positive
260,Bravo amin  …,Positive
261,<3 <3,Positive
262,نور شيبة وين ما يكون ديما ناجح ملا وهرة و ملا فن محلاه عندو تسمع التراث و الكلمة الحلوة المنسية,Positive
263,تعجبني وجيهة كيف تمثل فالمسلسلات ونحبها ونموت علاها,Positive
264,عزيمه + إصرار = نجاح . مدرسة من الإحسان ربنا يوفقهم,Positive
265,نحن فنانين صفاقس ومقداد السهيلي لايمثلناولانعترف به,Negative
266,عندوا القبول و انشاء الله ربي معاه,Positive
267,Machallah wa sob7an allah,Positive
268,Ma7soub si mo9ded adhaf barcha lel fan k sidi k jwedou,Negative
269,كمشه موبن واقحاب يعطونيش مال الدنيا ما نتفرج فيهم هوما و اي قناة تونسية,Negative
270,برافو ناجي جلول,Positive
271,قناة الدعارة تبا لكم ............,Negative
272,انت احسن فنانة في تونس ربي معك وراني نحبك برشششششش,Positive
273,masa5,Negative
274,m3alam,Positive
275,Ja3four inta ili mhaliha sahria bravo 3al barnamej l5ayri,Positive
276,bravo wasel,Positive
277,Irhabi,Negative
278,ممصط دين رب أمك,Negative
279,Wlh fsed hal mousalsel :( w fazdetou maryem ben cha3ben za7 bech yetfer9ou wled moufida,Negative
280,من احسن الممثلين في تونس بالتوفيق انشاء لله المسرح فن راقي  وابدع فني  انشاء لله بالنجاح في كل الاعمال bravo  <3  ,Positive
281,Te3jebni.met5al9a w hedya w ta7founa,Positive
282,لمين النهدي امبرطور الكوميديا واللون الاحمر ضواه ماحلاك يا لمين,Positive
283,Nimout aliha,Positive
284,Mamistou ikheyah,Negative
285,Bravo semi weli mouch 3ajbou ma3adech yetfarej,Positive
286,Bravo samiiii 😚😘😍😍,Positive
287,Bravo  ناجي جلول,Positive
288,tahiya kbira lsamira,Positive
289,من أحسن الممثلين في تونس انشاء الله من حسن الى أحسن,Positive
290,Tayaaaara barcha,Positive
291,Ensen tefah ch5aleh mahabech ye7ki m3a chakib 3arfou bech y5arjou min ghir sabatou hhhhhh,Negative
292,زهير الذوادي محلاك محلاك هههههههههه,Positive
293,Maaaaaaaaasssiiiiiiitttttt,Negative
294,mamsatha w mamsit labsetha #asma_3othmeni ye5i matfara9ich bin l'elegance witgou3ir !!!,Negative
295,malla chleka jeybinha ou mouch menha zeda men heka lebhim elli jebha amine wejh chkara,Negative
296,ياسر يعجبني ربي معاه,Positive
297,Mahleh . bravo,Positive
298,ممسطو,Negative
299,pfffff malla moustawé wsolnelou f mousalslet,Negative
300,Timasa5 la7as,Negative
301,انشاء الله ربي يحلها في وجهك يا لطفي ... رانا نحبوك برشااااا 😍 👑👑🎋🎋🎋🎋🎋🎋🎋🎋🎋,Positive
302,ماسطه لحقيقه,Negative
303,برجولية ممسطك يا لطفي قداكش بلييييد,Negative
304,مقداد السهيلي عفاط,Negative
305,Ken chadet darha 5irrr,Negative
306,Ya mimti mamsetha khit.whakha jat fi 2 pièces khir,Negative
307,ya lotfi ken 3andek mrath esmou el 4annouchi taw nab3ethlek edwe rchoudalgan,Negative
308,Masta ,Negative
309,اش لزك,Negative
310,Hhhh mech 3adi :-* me7leh hwa w bedr <3,Positive
311,bravo,Positive
312,برشا سخافة و رخس و قلت تربية والله اول مرة نتفرج فيه خاطر حطينو في القهوة و اخر مرة زادة,Negative
313,mastiiiiiiiiiiiiiiiiiiiiiiiiiin u kamcha ma7ssna,Negative
314,تحياتي لهاتة الاستاذة.تحياتي لهاتة الاستاذة.تحياتي لهاتة الاستاذة.تحياتي لهاتة الاستاذة.تحياتي لهاتة الاستاذة. bel 9wiiiiii zadaa,Positive
315,من أفضل الحلقات التي شاهدتها حلقة ممتازة و راقية على مستوى النقاش و التفاعل و الأسئلة و تحية الى الضيوف الكرام الذين ارتقوا بهذه الحلقة ...,Positive
316,مرزنها ممصتها,Negative
317,Dz  قالولي متجيش   .... وشنو هاذي الغنية الماسطة  ؟؟؟,Negative
318,Ya wildi zeid  il bogos bogos,Positive
319,جلطام .,Negative
320,Meeeeeeeerrrreg,Negative
321,bravo maysa,Positive
322,Brabi ya masset ya amine djib 9adhia wmout et tt wmb3d directement dawerha gne wdho7k ya mridh,Negative
323,Barcha tso9iet,Negative
324,تعجبني وجيهة على خاطر تخدم على روحها ومايهمها في حتى شئ,Positive
325,besla,Negative
326,borjou liyya rim wahadha,Positive
327,أنا نكره الكذب حتى في المسلسلات,Negative
328,machala 3lih,Positive
329,Besla wa masta,Negative
330,Wzir tarbya yehki bel mante9 hetha ? Kont netsawrou ensen mo7tarem 5sara el ta3lim fe yed ensen ma ye7taremech adeb el 7iwar,Negative
331,"aliha w barvo  3liha 😍""",Positive
332,"ضايع فيييييييها و مصطك زاده""",Negative
333,Bravoooo,Positive
334,Bravoo,Positive
335,وجيهة ربي ايوفقك,Positive
336,3assoulll 😍😍😘😘,Positive
337,Faday7,Negative
338,توفيق الغربي أبرز مثال للانحطاط .. أي تقافة ينجم يوصلهالنا انسان عديم الثقافة والأخلاق !!!,Negative
339,tabarkalh 3lih,Positive
340,"Wlhhh ydhha7kouu mch nrmlll
تحفونة ❤️حبيتها 😘😘
M3alm
حنان شقراوي... قنبلة الساحة، بأتم معنى الكلمة
ما شاء الله عليه أخلاق عالية و كلام موزون
a7ssen 9aney fi touness
تعجبني بارشا وجيهة في تونس ما تلقاش فنانة كيفها
bent 7oumti m3alma
Ma7lhom zouz 😍😍
Hayeeel
Hhhh barcha jaw lyoumm allah laynahik alina
Tbrkllah 3liha rabi yahfadha
وحدك يا جعفور زهيتها السهرية ربي يوفقك ان شاء الله
Vraiment bravoooo
ربي يوفقق ياعلاء
Ana t3jbni 3al5er👏👏👏👏👏👍👍👍👍👍👍👍👍💖
a7la jaa3four dima mnawer
Habibi Rabi y7mik w ytik ma tetmana😚😘
ma7leha ya3tek douda
ma7lehom bravo sami fehri
Yaser tachoui9
Mahleh w Rabi inajho
rak m3alem matsma3 klem 7ad
انسان طيب وعلى اخلاق عالية بارك الله فيه
أبدعت يا وليد التونسي  ألف قبلة علي جبين أمك فقد أنجبت رجلا بحق.شكرا أيها الفنان
lotfi 3ssal edenya <3
To9etel Ya maryouma Ya ta7efouna Ya a3az maryouma fi tounes
Bravoooooo :-) :-)
tfata9 w ma7lek ya maryouma il 4aliya
معلم وحدك وحدك.
احسن سيتكوم عجبتني بالدموع 😂😁😁😃😂😂
أو مل روعة مش نرمال
وهرا وزين تالحصيلو ربي يهنيك ويخليلك المدام
انسان ضامر ومتربي برافو
راجل
تباركله عليها
بنتك  كالقمر خاصة انها عندها اب مثلك لازم انك تفتخر بالامورة رحمة <3 ¡
Bravo sami
نحن نعشق الحوار التونسي
bravoo
صاحب الجو و الربوخ 💖💖
Tabarkala 3laha maliket jamel tounes
ya3tikam saha
Mmmmm tahfouna
Bravo toutou 😙😙😙😙😙
محلاك مروى و نشاء الله من حسن إلى أحسن :) (y)
ضامر و صاحب جو ربي يوفقك :)
Maryouma toktel nhebek barcha
يا جلول يا معلم يا معذبهم احسنت فيما قلتها
حنان الشقراني احسن
تعجبني كإمرأة متزنة مستقيمة و إبتسمتها متفرقهاش
برافو وليد فرهدتلنا على قلوبنا رجال وسيد الرجال
عجبتني اللحمةبين الاخوة
Fanén kbir
Bravooo sami fehrii👏👏👏👏👏
فعلا انت سيدة تونس بإمتياز، كلنا ثقة في آرائك وندعمك دائما، وأتمنى لو نساء تونس الكل يكونو مثل السيدة الفاضله محرزية العبيدي
Wallahi ena n7ebek baaarcha ema avant khir
Te3jebni
Alah yehmiha milhossed
Kol youm 7obak yziiiiiiiiiiiid
Ja3four 3ezz eness
Bravo 3aycha 
T3jebni barcha  
الفة ..فنااااانة في كا شيء.. بكل ما تحمله الكلمة من معنى.. ❤❤❤
Raw3a bravo c'est bien
بصراحة روعة روعة روعة.
لطيف وحدك في الضحك
ماشاءالله تبارك الله ربنا يحفظها ويمد فى عمرها انشاء الله. ",Positive
341,"Bravo bravo ja3fer, enchallah dima metalek wenchalalh mel ahsen el ahsen",Positive
342,3asouuuuuuuula,Positive
343,m3alem ja3four lghali je t aime,Positive
344,لمين وحدو في اافكاهة ,Positive
345,zabor,Negative
346,Ma5yebha lvaza walh mchat sabet Saba,Negative
347,مومثلة ناجحة او نتمنلالها مسفقبل مليء بل اعمال الجيدة,Positive
348,msata,Negative
349,تعرفو كرهتوني في قنات تونسي برمجكم اخي اخي بكل مصظين برشا,Negative
350,GO3ER,Negative
351,a7san 7aja m3lemmmmmmmmmmmmmmm,Positive
352,مااسقطو راجل توه الحبس تنحات منو الصبة والراقو مكذبك عندي احساس الا عدوه للدراقة هههه خرج يهتري بالحبس تي المهم لكلها لغة باش يكمل عروضو في الحبس,Negative
353,Wallah miskin,Negative
354,enta m3alem,Positive
355,هذا انسان يحارب في الميوعة وقلة الحياء انا معاك يامعلم,Negative
356,MASSET LASSET,Negative
357,Bravooooo,Positive
358,Tfouhhhh 3lik ye5amej yemasa5😡,Negative
359,loutfi a m3alim,Positive
360,Marzen mleyiktek w ma9al 7yek tfouh 3la hal mandher,Negative
361,yesir 7low,Positive
362,Maset;3oka,Negative
363,Vrmt 3alamii,Positive
364,Inta m3alem w a7na minik net3alam. Rak soltan il masra7,Positive
365,thabel bint 7oumti ;),Positive
366,محلاها نحبها برشااااا ♡♡♡♡,Positive
367,nour chiba ye3jebni w men a7sen l fanani 5atrou insen mo5tarem w 8neh mo7tarem w rabi ya3tik ma titmana ya nour,Positive
368,3assla,Positive
369,ماااااااااسط حتى بالقارص ميتهضمش,Negative
370,Brvo,Positive
371,Mala 3ssal,Positive
372,و الله يا هاجر  صحة ليه اللي باش ياخذك و تشرّف أي تونسي يا بنت بلادي و محلاك.,Positive
373,تحفة,Positive
374,Maalem,Positive
375,كم انت تونسي يا وليد ...برافو وليد...,Positive
376,5ir bil bera7 ama masta,Negative
377,Hhhh tayara ya sami,Positive
378,yeser damer ya lotfi,Positive
379,الي عجبني فيهم رغم طلاق بوهم من امهم و بوهم غايب عليهم 14 سنة يلوجو على بباهم حاجة باهية  برشة في المجتمع ريتو الفرحة كفاش ...ريتو اللمة  ...بلا بو و ام  مهيش معيشة و اغلا حاجة عندي انا ربي سبحانو و الوالدين ...نقولهم ربي يدوم محبتكم  و ربحتو حاجة في الدنيا هي رضاية الوالدين . اخوكم مراد من الجزائر,Positive
380,Masssssssit mafehimtich 3lech yathe7ko,Negative
381,لحاااااااااااس,Negative
382,mala ba9ara 7aloub 9adech sa5ifa,Negative
383,معلم اما ينقص مل كلام الفارغ,Positive
384,برااااافو,Positive
385,يعطيه زلزاااااال مامسطوووووووو وما ارزنوووووو. موش متربي ومش محترم ويتڨوعر برشاااا,Negative
386,Fannan wi3lih liklem Dalí Bach yanta7er houwa w bouh minja7ek 7asan wasel,Positive
387,Effffffff masit bliiiiid,Negative
388,😍😘😘😘,Positive
389,Bravo daleji enta fin w houma fin mrigel hhhhhh,Positive
390,Ynarvez,Negative
391,تعجبني,Positive
392,يهبل جعفور وين مايمشي يحفلها ويضحكنا من غير ما يسيئ لأي شخص (y),Positive
393,المسلسل لي تحكو عليه والله سمعت بيه كان من تعليقاتكم ههههه كفاش تتفرجو عليه و كفاش يطاوعكم قلبكم تشوفو هاذي التفهات.......  الله يهدي....,Negative
394,Maaaaaaaseeeeeeet,Negative
395,تافه وحتى المخرجين الي اتعامل معاهم يعرفوه هاك علاش ما يعطيوه كان دور قوااد والا عساس والا لحاس,Negative
